product_name,description,seller_description,seller_website,main_category,software_product_id,overview,categories,name_clean,description_clean
Solarwinds Database Performance Monitoring,"Solarwinds Database Performance Analyzer monitors on-premises, on VMware®, and in the Cloud, including Amazon® AWS and Azure™ virtual machines. Agentless architecture, safe to use in production",SolarWinds provides powerful and affordable IT management software to customers worldwide from Fortune 500 enterprises to small businesses.,https://www.solarwinds.com/,Monitoring Software,solarwinds-database-performance-monitoring,"The cross-platform solution for database performance monitoring for both cloud and on-premises databases. Anomaly detection powered by machine learning combined with forensic level wait-time analysis give you the power to diagnose performance issues in a matter of minutes, not days. Both real-time and historical data give you down-to-the-second answers to resolve critical problems, while expert advice via query and table tuning advisors allow you to proactively optimize your enterprise.","Austin, TX","[""Database Management Systems (DBMS)"",""Database Monitoring"",""Other Analytics"",""Data Warehouse Automation""]",
Kalos by Stratus10,Stratus10 is an AWS Advanced Partner helping companies migrate to the cloud and implement best practices.,Stratus10 is an AWS Advanced Partner helping companies migrate to the cloud and implement best practices.,https://stratus10.com/,Cloud Cost Management Tools,kalos-by-stratus10,"A cloud management platform for AWS, Kalos helps you reduce your spend, enhance security compliance for 15 frameworks, and maintain efficient performance - all from intuitive dashboards. Leverage AI for tailored recommendations to optimize your infrastructure, helping you prioritize your work and reduce manual effort. Reclaim control of your AWS environment and make data-driven decisions that boost efficiency, compliance, and savings.","San Diego, CA","[""Cloud Compliance"",""Cloud Cost Management""]",
OpenText Connect,Micro Focus Connect provides unified reporting and baselines across all software delivery assets. Teams can achieve tighter communication while stakeholders gain transparency over development environments.,"OpenText software applications manage content or unstructured data for large companies, government agencies, and professional service firms. OpenText aims its products at addressing information management requirements, including management of large volumes of content, compliance with regulatory requirements, and mobile and online experience management.",https://www.opentext.com/,Application Development Software,opentext-connect,Micro Focus Connect provides unified reporting and baselines across all software delivery assets. Teams can achieve tighter communication while stakeholders gain transparency over development environments.,"Waterloo, ON","[""ALM Software Suites""]",
Salesforce Partner Relationship Management (PRM),"Salesforce Partner Relationship Management recruits, onboards, trains, and supports your indirect sales channels with theThis channel management software gives you a direct view into the performance of you channel partners so you collaborate better and drive more deals features that increase partner engagement.","Salesforce is a customer relationship management solution that brings customers and companies together. It's one integrated CRM platform that gives all your departments — including marketing, sales, commerce, and service — a single, shared view of every customer.",https://www.salesforce.com/,Partnerships Management,salesforce-partner-relationship-management-prm,"Grow revenue with a personalized partner experience, built using the #1 AI CRM. Win with outcomes-based onboarding and branded marketing assets. Guide faster partner selling with generative and predictive AI insights. Simplify partner management with automated fund requests and discounting. Ensure ongoing success, no matter the industry, with partner relationship management software that extends the power of Salesforce across your partner ecosystem.","San Francisco, CA","[""Partner Relationship Management (PRM)""]",
PEAK Platform,"PEAK Platform's building analytics platform integrates building intelligence, machine learning and technical engineering support in a way that is smart, simple and transparent.","CIM creates innovative data analytics software that helps run large buildings at their peak performance. CIM's flexible SaaS PEAK Platform integrates building intelligence, machine learning and mechanical engineering to improve efficiency, sustainability and comfort across any building type.",https://www.cim.io/,Utilities Software,peak-platform,"The PEAK Platform enables property management teams to work more efficiently and collaboratively, resulting in significant operational improvements throughout their entire portfolio. Essential tasks are automated, and digital workflows are utilized across the entire supply chain to expedite the completion of important tasks.","Sydney, Australia","[""Facility Management"",""Energy Management"",""Smart Buildings""]",
Kaseya 365,"Your Kaseya 365 subscription offers everything needed to manage, secure, backup, and automate endpoints in your environment. With Automations built in, Kaseya 365 components save time by making workflows smoother, reducing manual mistakes, and making complicated tasks easier.","Kaseya® is the leading provider of IT and security management solutions for managed service providers (MSPs) and small to medium sized businesses (SMBs). Through its open platform and customer-centric approach, Kaseya delivers best in breed technologies that allow organizations to efficiently manage, secure, and backup IT. Kaseya IT Complete is the most comprehensive, integrated IT management platform comprised of industry-leading solutions from Kaseya, Unitrends, Rapidfire Tools, Spanning Cloud Apps, IT Glue, ID Agent and Graphus. The platform empowers businesses to: command all of IT centrally; easily manage remote and distributed environments; simplify backup and disaster recovery; safeguard against cybersecurity attacks; effectively manage compliance and network assets; streamline IT documentation, and automate across IT management functions. Headquartered in Dublin, Ireland, Kaseya is privately held with a presence in over 20 countries. To learn more, visit www.kaseya.com.",https://www.kaseya.com/,Unified Endpoint Management (UEM) Software,kaseya-365,"Your Kaseya 365 subscription offers everything needed to manage, secure, backup, and automate endpoints in your environment. With Automations built in, Kaseya 365 components save time by making workflows smoother, reducing manual mistakes, and making complicated tasks easier.","Miami, FL","[""Unified Endpoint Management (UEM)""]",
M1-project,"M1-project creates detailed Ideal Customer Profiles using AI. We simplify the process of identifying and understanding the target audience for businesses. Here's how it works: 1. Input your business description or link to the website. 2. Take a quiz about your business (7 min). 3. Get a detailed report (ICP). We offer a 7-Day No Questions Asked Money-back Guarantee🤝 The report answers crucial questions: 1. Who are your clients? 2. Where can you find them? 3. How should you present the product to them and sell? The report usually contains the following information: - 30 pages of complete insights about your target audience - 40 places where you can find paying customers - How to present the product to them and sell With M1, you can: 1. Lower customer acquisition costs. 2. Get more paying clients by identifying the places where your audience concentrates. 3. Improve conversion by understanding your customers. 4. Acquire more clients without increasing your budget. Start now and get a Demo-ICP for free :)",M1-project is a company that creates advanced products for marketing automation using artificial intelligence.,https://www.m1-project.com/,Generative AI Software,m1-project,"An AI marketing assistant by M1-project takes the guesswork out of marketing, helping you define your Ideal Customer Profile, create high-converting content, and execute custom user acquisition strategies. Elsa automates tasks, saving you time while delivering actionable insights and proven results.","Kyiv, Ukraine","[""AI Writing Assistant"",""AI Content Creation Platforms"",""Other Lead Generation""]",
Magento 2 Google Analytics 4 (GA4) With GTM,Magento 2 Google Analytics 4 with GTM Extension allows eCommerce tracking with seamless integration to enable the latest GA4 using Google Tag Manager. A plug-and-play Magento 2 GA4 plugin that configures sophisticated Google Analytics 4 (GA4) utilizing Tag Manager to track every step of user activity.,"MageDelight is the gateway to an extensive range of Magento extensions that provides innovative solutions for the Magento Platform. With 10 years of experience in eCommerce and 5 years in Magento, we are committed to providing the best Magento extensions to take our client's business to the next level. Our enthusiastic and professional customer support team provides you with extensive support during the installation of either our own product or your own custom Magento extension. If required, our team can even custom deliver an extension that is suited to your needs. At MageDelight, we are continually improving our products and coming up with the latest solutions, so that we can provide the most effective answers for your eCommerce business requisites.",https://www.magedelight.com/,E-Commerce Software,magento-2-google-analytics-4-ga4-with-gtm,"MageDelight's Magento 2 Google Analytics 4 (GA4) integration with Google Tag Manager (GTM) empowers online retailers to harness the advanced analytics capabilities of GA4, enabling in-depth tracking of user interactions, enhanced e-commerce reporting, and precise data-driven insights for optimizing their online stores. The integration is designed to streamline implementation through GTM, allowing businesses to make informed decisions, track conversions, and gain a deeper understanding of user behavior to enhance their e-commerce performance. With the combined power of GA4 and GTM, online businesses can refine their strategies and improve their customer experience based on data-driven intelligence.",Ahmedabad,"[""E-Commerce Tools""]",
Mesh,"Mesh is a social performance management platform for today's workforce, which makes it easy for employees to manage goals, track tasks and share feedback, especially in remote teams. It combines the best features of multiple OKR, productivity & performance management tools in one simple platform keeping employees engaged by being their daily social network for work.",We're helping teams all over the world reimagine performance management and employee engagement to fit the way you really work. Book a demo now!,https://mesh.ai/,Talent Management Software,mesh,"CEOs and HR leaders today need to build market-leading organizations in the face of ever-increasing disruption and evolving talent expectations. Research has indicated that fewer than 5% of an organization's roles account for 95% of its ability to deliver business results. A complete strategy today requires elevating every individual's performance. But, traditional performance management processes and technology do nothing to build talent density as a moat. Mesh helps organizations build a culture of performance enablement through its goals/OKRs, continuous feedback, manager 1:1s, career conversations, performance reviews/360s, and employee engagement functionalities. With Mesh, organizations easily make timely performance conversations an org-wide habit : 1) Social interface that drives the next best action 2) Habit-forming moments through AI nudges 3) Actionable insights rooted in People Science 4) Delivered in the flow of work through integrations with email, chat, productivity, and other business software. Mesh assists organizations in improving their chances of hitting business goals by improving the density of its high performers from 5% to ~10-20%. For talent, it helps them get clear visibility on their growth and development through transparent career paths, timely coaching, and feedback from their teams, peers, and managers alike.","San Jose, US","[""Employee Engagement"",""Performance Management"",""Objectives and Key Results (OKR)"",""Career Management""]",
MicroBilt Watchlist Search,"Watchlist Search allows businesses to check an applicant against OFAC and other federal and international databases containing economic and trade sanctions against certain nations, entities/businesses, and individuals.","From credit originations to background screening, to employee verification, skip tracing, and collections, MicroBilt’s vast data warehouse provides a complete set of API tools from a single, convenient source. Quality data is continually updated and delivered reliably to your applications: https://developer.microbilt.com/ As a pioneer in consumer and alternative credit data, MicroBilt offers companies and developers a secure, reliable resource for all your data needs. Our databases are protected by the highest industry encryption standards and our data is continually refreshed to ensure you’re getting the most recent information available.",https://www.microbilt.com/,Accounting & Finance Software,microbilt-watchlist-search,"Watchlist Search allows businesses to check an applicant against OFAC and other federal and international databases containing economic and trade sanctions against certain nations, entities/businesses, and individuals.","Kennesaw, GA","[""Other Finance & Admin.""]",
Microsoft SharePoint,"With SharePoint you can manage versions, apply retention schedules, declare records, and place legal holds, whether you're dealing with traditional content, Web content.","Every company has a mission. What's ours? To empower every person and every organization to achieve more. We believe technology can and should be a force for good and that meaningful innovation contributes to a brighter world in the future and today. Our culture doesn’t just encourage curiosity; it embraces it. Each day we make progress together by showing up as our authentic selves. We show up with a learn-it-all mentality. We show up cheering on others, knowing their success doesn't diminish our own. We show up every day open to learning our own biases, changing our behavior, and inviting in differences. Because impact matters. Microsoft operates in 190 countries and is made up of approximately 8,000 passionate employees worldwide.",https://www.microsoft.com/en-us/,Team Collaboration Software,microsoft-microsoft-sharepoint,"Compliance Everywhere. Manage versions, apply retention schedules, declare records, and place legal holds, whether you're dealing with traditional content, Web content, or social content.","Redmond, Washington","[""Employee Intranet""]",
Meta Code Llama,"Code Llama has the potential to make workflows faster and more efficient for current developers and lower the barrier to entry for people who are learning to code. Code Llama has the potential to be used as a productivity and educational tool to help programmers write more robust, well-documented software.","Meta Platforms, Inc. is a global leader in social technology, connecting people and businesses through its family of apps like Facebook, Instagram, and WhatsApp, while driving innovation in virtual and augmented reality.",https://about.meta.com/,DevSecOps Software,meta-code-llama,"Code Llama has the potential to make workflows faster and more efficient for current developers and lower the barrier to entry for people who are learning to code. Code Llama has the potential to be used as a productivity and educational tool to help programmers write more robust, well-documented software.","Menlo Park, CA","[""Static Code Analysis""]",
Microsoft SQL Server 2016 Express on Windows Server 2016,"SQL Server on AWS has lower TCO, higher performance, and the broadest and deepest capabilities. This SQL Server Amazon Machine Images (AMI) is built by Amazon Web Services (AWS) for use on Amazon EC2, the proven, reliable, and secure place for SQL Server.","By giving customers more of what they want - low prices, vast selection, and convenience - Amazon continues to grow and evolve as a world-class e-commerce platform.",https://aws.amazon.com/?nc2=h_lg,AWS Marketplace Software,microsoft-sql-server-2016-express-on-windows-server-2016,"SQL Server on AWS has lower TCO, higher performance, and the broadest and deepest capabilities. This SQL Server Amazon Machine Images (AMI) is built by Amazon Web Services (AWS) for use on Amazon EC2, the proven, reliable, and secure place for SQL Server.","Seattle, WA","[""AWS Marketplace""]",
Microsoft SQL Server 2014 Web on Windows Server 2012 RTM,"The SQL Server Amazon Machine Images (AMI) is built, updated, and fully-patched by AWS within five business days of Microsoft's patch Tuesday (the second Tuesday of each month). Launching an instance from this AMI enables you to run the instance as a database server and saves you the effort to install SQL Server software. This AMI comes with following software and drivers including AWS Systems Manager, AWS CloudFormation, AWS Tools for Windows PowerShell, Network drivers, and Storage drivers. You can use AWS Launch Wizard to easily size, configure, and deployment SQL Server applications on AWS. Launch Wizard for SQL Server supports both single instance and high availability deployments according to AWS and SQL Server best practices.","By giving customers more of what they want - low prices, vast selection, and convenience - Amazon continues to grow and evolve as a world-class e-commerce platform.",https://aws.amazon.com/?nc2=h_lg,AWS Marketplace Software,microsoft-sql-server-2014-web-on-windows-server-2012-rtm,"The SQL Server Amazon Machine Images (AMI) is built, updated, and fully-patched by AWS within five business days of Microsoft's patch Tuesday (the second Tuesday of each month). Launching an instance from this AMI enables you to run the instance as a database server and saves you the effort to install SQL Server software. This AMI comes with following software and drivers including AWS Systems Manager, AWS CloudFormation, AWS Tools for Windows PowerShell, Network drivers, and Storage drivers. You can use AWS Launch Wizard to easily size, configure, and deployment SQL Server applications on AWS. Launch Wizard for SQL Server supports both single instance and high availability deployments according to AWS and SQL Server best practices.","Seattle, WA","[""AWS Marketplace""]",
Microsoft SQLServer 2016 Enterprise on Windows Server 2016 Support by TC,"Microsoft SQLServer 2016 Enterprise on Windows Server 2016 Support by TC enables high levels of service for mission-critical workloads and end-user access to data information through comprehensive high-end data center capabilities with blazing-fast performance, Unlimited virtualization and end-to-end business intelligence. Terracloudx decision making is guided by the commitment and effort of our collaborators who continually work to be at the forefront of technology. We make it easy to get your favorite open source software up and running on any platform and in major clouds . In addition to popular community offerings, it is continuously maintained and can be customized for your organization's policies.","TerracloudX is a technology vendor specializing in cloud solutions and services. They offer a range of products aimed at enhancing cloud infrastructure, including cloud storage, computing, and management tools. With a focus on scalability and security, TerracloudX aims to support businesses in optimizing their cloud operations efficiently. For more information, visit their website at https://terracloudx.com.",https://terracloudx.com/,AWS Marketplace Software,microsoft-sqlserver-2016-enterprise-on-windows-server-2016-support-by-tc,"Microsoft SQLServer 2016 Enterprise on Windows Server 2016 Support by TC enables high levels of service for mission-critical workloads and end-user access to data information through comprehensive high-end data center capabilities with blazing-fast performance, Unlimited virtualization and end-to-end business intelligence. Terracloudx decision making is guided by the commitment and effort of our collaborators who continually work to be at the forefront of technology. We make it easy to get your favorite open source software up and running on any platform and in major clouds . In addition to popular community offerings, it is continuously maintained and can be customized for your organization's policies.",,"[""AWS Marketplace""]",
Microsoft Bing Autosuggest API,Microsoft Bing Autosuggest API is a tool that help users complete queries faster by adding intelligent type-ahead capabilities to an app or website.,"Every company has a mission. What's ours? To empower every person and every organization to achieve more. We believe technology can and should be a force for good and that meaningful innovation contributes to a brighter world in the future and today. Our culture doesn’t just encourage curiosity; it embraces it. Each day we make progress together by showing up as our authentic selves. We show up with a learn-it-all mentality. We show up cheering on others, knowing their success doesn't diminish our own. We show up every day open to learning our own biases, changing our behavior, and inviting in differences. Because impact matters. Microsoft operates in 190 countries and is made up of approximately 8,000 passionate employees worldwide.",https://www.microsoft.com/en-us/,Other Development Software,microsoft-bing-autosuggest-api,Microsoft Bing Autosuggest API is a tool that help users complete queries faster by adding intelligent type-ahead capabilities to an app or website.,"Redmond, Washington","[""Other Development""]",
Meshmixer,Meshmixer is state-of-the-art software for working with triangle meshes.,"Autodesk is a leader in 3D design, engineering, and entertainment software. If you’ve ever driven a high-performance car, admired a towering skyscraper, used a smartphone, or watched a great film, chances are you’ve experienced what millions of Autodesk customers are doing with our software. Autodesk gives you the power to make anything.",https://www.autodesk.com/,3D Printing Software,meshmixer,Meshmixer is state-of-the-art software for working with triangle meshes.,San Francisco,"[""3D Printing""]",
Mintty,"Mintty is a terminal emulator for Cygwin, MSYS or Msys2, and derived projects, and for WSL.","GitHub Inc. provides code hosting services. It allows users to share codes with friends, co-workers, classmates, and strangers; offers control system for the collaborative development of software; allows users to fork, send pull requests, and manage various public and private repositories; and offers collaborator management, wikis, downloads, code review, and graphs. The company allows individuals and team members to discuss about codes; and track and assign issues to other teammates. GitHub Inc. was founded in 2008 and is based in San Francisco, California.",https://github.com/,Terminal Emulator Software,mintty,"Mintty is a terminal emulator for Cygwin, MSYS or Msys2, and derived projects, and for WSL.","San Francisco, CA","[""Terminal Emulator""]",
