product_name,description,url,category,source
Solarwinds Database Performance Monitoring,"Solarwinds Database Performance Analyzer monitors on-premises, on VMware®, and in the Cloud, including Amazon® AWS and Azure™ virtual machines. Agentless architecture, safe to use in production",https://www.solarwinds.com/,Monitoring Software,bd
Kalos by Stratus10,Stratus10 is an AWS Advanced Partner helping companies migrate to the cloud and implement best practices.,https://stratus10.com/,Cloud Cost Management Tools,bd
OpenText Connect,Micro Focus Connect provides unified reporting and baselines across all software delivery assets. Teams can achieve tighter communication while stakeholders gain transparency over development environments.,https://www.opentext.com/,Application Development Software,bd
Salesforce Partner Relationship Management (PRM),"Salesforce Partner Relationship Management recruits, onboards, trains, and supports your indirect sales channels with theThis channel management software gives you a direct view into the performance of you channel partners so you collaborate better and drive more deals features that increase partner engagement.",https://www.salesforce.com/,Partnerships Management,bd
PEAK Platform,"PEAK Platform's building analytics platform integrates building intelligence, machine learning and technical engineering support in a way that is smart, simple and transparent.",https://www.cim.io/,Utilities Software,bd + ts
Kaseya 365,"Your Kaseya 365 subscription offers everything needed to manage, secure, backup, and automate endpoints in your environment. With Automations built in, Kaseya 365 components save time by making workflows smoother, reducing manual mistakes, and making complicated tasks easier.",https://www.kaseya.com/,Unified Endpoint Management (UEM) Software,bd
M1-project,"M1-project creates detailed Ideal Customer Profiles using AI. We simplify the process of identifying and understanding the target audience for businesses. Here's how it works: 1. Input your business description or link to the website. 2. Take a quiz about your business (7 min). 3. Get a detailed report (ICP). We offer a 7-Day No Questions Asked Money-back Guarantee🤝 The report answers crucial questions: 1. Who are your clients? 2. Where can you find them? 3. How should you present the product to them and sell? The report usually contains the following information: - 30 pages of complete insights about your target audience - 40 places where you can find paying customers - How to present the product to them and sell With M1, you can: 1. Lower customer acquisition costs. 2. Get more paying clients by identifying the places where your audience concentrates. 3. Improve conversion by understanding your customers. 4. Acquire more clients without increasing your budget. Start now and get a Demo-ICP for free :)",https://www.m1-project.com/,Generative AI Software,bd
Magento 2 Google Analytics 4 (GA4) With GTM,Magento 2 Google Analytics 4 with GTM Extension allows eCommerce tracking with seamless integration to enable the latest GA4 using Google Tag Manager. A plug-and-play Magento 2 GA4 plugin that configures sophisticated Google Analytics 4 (GA4) utilizing Tag Manager to track every step of user activity.,https://www.magedelight.com/,E-Commerce Software,bd + ts
Mesh,"Mesh is a social performance management platform for today's workforce, which makes it easy for employees to manage goals, track tasks and share feedback, especially in remote teams. It combines the best features of multiple OKR, productivity & performance management tools in one simple platform keeping employees engaged by being their daily social network for work.",https://mesh.ai/,Talent Management Software,bd
MicroBilt Watchlist Search,"Watchlist Search allows businesses to check an applicant against OFAC and other federal and international databases containing economic and trade sanctions against certain nations, entities/businesses, and individuals.",https://www.microbilt.com/,Accounting & Finance Software,bd
Microsoft SharePoint,"With SharePoint you can manage versions, apply retention schedules, declare records, and place legal holds, whether you're dealing with traditional content, Web content.",https://www.microsoft.com/en-us/,Team Collaboration Software,bd
Meta Code Llama,"Code Llama has the potential to make workflows faster and more efficient for current developers and lower the barrier to entry for people who are learning to code. Code Llama has the potential to be used as a productivity and educational tool to help programmers write more robust, well-documented software.",https://about.meta.com/,DevSecOps Software,bd
Microsoft SQL Server 2016 Express on Windows Server 2016,"SQL Server on AWS has lower TCO, higher performance, and the broadest and deepest capabilities. This SQL Server Amazon Machine Images (AMI) is built by Amazon Web Services (AWS) for use on Amazon EC2, the proven, reliable, and secure place for SQL Server.",https://aws.amazon.com/?nc2=h_lg,AWS Marketplace Software,bd + ts
Microsoft SQL Server 2014 Web on Windows Server 2012 RTM,"The SQL Server Amazon Machine Images (AMI) is built, updated, and fully-patched by AWS within five business days of Microsoft's patch Tuesday (the second Tuesday of each month). Launching an instance from this AMI enables you to run the instance as a database server and saves you the effort to install SQL Server software. This AMI comes with following software and drivers including AWS Systems Manager, AWS CloudFormation, AWS Tools for Windows PowerShell, Network drivers, and Storage drivers. You can use AWS Launch Wizard to easily size, configure, and deployment SQL Server applications on AWS. Launch Wizard for SQL Server supports both single instance and high availability deployments according to AWS and SQL Server best practices.",https://aws.amazon.com/?nc2=h_lg,AWS Marketplace Software,bd
Microsoft SQLServer 2016 Enterprise on Windows Server 2016 Support by TC,"Microsoft SQLServer 2016 Enterprise on Windows Server 2016 Support by TC enables high levels of service for mission-critical workloads and end-user access to data information through comprehensive high-end data center capabilities with blazing-fast performance, Unlimited virtualization and end-to-end business intelligence. Terracloudx decision making is guided by the commitment and effort of our collaborators who continually work to be at the forefront of technology. We make it easy to get your favorite open source software up and running on any platform and in major clouds . In addition to popular community offerings, it is continuously maintained and can be customized for your organization's policies.",https://terracloudx.com/,AWS Marketplace Software,bd
Microsoft Bing Autosuggest API,Microsoft Bing Autosuggest API is a tool that help users complete queries faster by adding intelligent type-ahead capabilities to an app or website.,https://www.microsoft.com/en-us/,Other Development Software,bd
Meshmixer,Meshmixer is state-of-the-art software for working with triangle meshes.,https://www.autodesk.com/,3D Printing Software,bd
Mintty,"Mintty is a terminal emulator for Cygwin, MSYS or Msys2, and derived projects, and for WSL.",https://github.com/,Terminal Emulator Software,bd
MicrofinPlus,"Elevate Your Microfinance Operations with Our Cutting-edge Software! Introducing our Microfinance Software MicrofinPlus - designed to empower, streamline, and elevate your financial & microcredit operations. Integrated with Microfinance program solutions, HR & Payroll, Inventory, Fixed Asset Management, Procurement, and Accounting Modules for any microfinance institution. 🔍 Key Features: ✅ Effortless Client Management: Seamlessly organize and manage client data, ensuring a personalized and efficient customer experience. ✅ Automated Loan Processing: Our software automates the loan processing workflow, reducing turnaround times and minimizing errors. ✅ Real-time Financial Tracking: Gain unprecedented insights into your institution's financial health with Cloud-based real-time tracking and comprehensive reporting tools. ✅ Secure Transactions: Trust is paramount. Our software ensures the highest level of security for all financial transactions. ✅ User-friendly Interface: No steep learning curve! Our intuitive interface makes it easy for the teams to adapt quickly. ✅ Compliance and Regulation: Stay ahead of regulatory requirements effortlessly, ensuring your institution remains compliant with industry standards. 🤝 User-friendly Customer support: Our intuitive interface makes it easy for the team member to adapt quickly. Your success is our success. So, we are dedicated to providing top-notch 24/7 customer support, training, and tailored solutions to meet your unique needs. 🔐 Data Security: Rest easy knowing that your sensitive data is in safe hands. We prioritize the highest data security standards to protect your institution and your clients with Guaranteed. We also customized our product to client requirements.",https://www.ambalait.com/,Financial Services Software,bd
Microsoft Entra Verified ID,"Verifiable credentials is now Microsoft Entra Verified ID Introducing Microsoft Entra, a family of multicloud identity and access products to help you secure access for a connected world.",https://www.microsoft.com/en-us/,Identity Management Software,bd
Mesh Intranet,Mesh is a comprehensive intranet solution which caters to the needs of the business like improving communication and collaboration with in the organization.,https://www.acuvate.com/,Team Collaboration Software,bd + ts
Magento 2 Price Per Customer Extension,"Reward your most loyal customers with special individualized prices. Now adjust tier price for product and customer group with Price Per Customer Magento 2 Extension. - Added GraphQL Readability - Place order from admin panel with customer's special price - Set product price discount for individual customers - Special offer page in front-end to offer special price - Simple, configurable, group and dynamic bundle products - Set fixed price or tier price per customer - Set a flat discount for an entire product catalog for individual customer - Product and category wise import/export price per customer COMPATIBLE WITH -COMMUNITY : 2.3.X - 2.4.X ENTERPRISE : 2.3.X - 2.4.X",https://www.magedelight.com/,E-Commerce Software,bd
LumenRT,LumenRT offers combination of tools to rapidly create photographic images and ultra-high definition videos of your projects.,https://www.bentley.com/,3D Design Software,bd
Microsoft Clarity,"Clarity is a free, easy-to-use tool that captures how real people actually use your site. With Clarity you can: Create a heatmap in minutes using data you already have to see how your users are clicking and scrolling. Find recordings for almost any scenario with our rich segmentation. Make data-driven decisions with insights powered by machine learning. Connect Clarity and Google Analytics to understand user behaviors driving the data.",https://www.microsoft.com/en-us/,Conversion Rate Optimization Tools,bd
metricool,"Analyze, manage and grow your digital presence Review your metrics, plan your content and easily manage your online ad campaigns. Everything in one place.",https://metricool.com/,Social Media Marketing Software,bd
Lyrid,"Lyrid is a multi-cloud solution which makes cloud native developments automated and affordable. With Lyrid, development teams can innovate affordably, increase cloud vendor flexibility and test new ideas without disrupting existing processes.",https://www.lyrid.io/,DevOps Software,bd
MicroMD PM,"Delivering on the promise of health information technology, Henry Schein Medical Systems/MicroMD provides simple yet powerful EMR and practice management solutions that facilitate the delivery of superior patient care, automate incentive and quality reporting activities, and streamline operations for today's busy providers.",https://www.henryschein.com/,Health Care Software,bd
Microsoft Cloud for Sustainability,"Accelerate your sustainability journey Accelerate sustainability progress and business growth with a growing set of ESG (environmental, social, and governance) capabilities from Microsoft and our global ecosystem of partners.",https://www.microsoft.com/en-us/,Sustainability Management Software,bd
MigrateEmails EML Converter Tool,"MigrateEmails EML Converter Tool is a premium utility that helps convert EML files to distinct file formats in bulk accurately. This tool can efficiently convert EML files to PST, PDF, MSG, MBOX, etc. Furthermore, it can also migrate EML files to Office 365, Gmail, Zoho Mail, IMAP, iCloud, and other web-based and cloud-based utilities. The advanced features of this software provide a fast and secure conversion of EML files without compromising the data integrity. The EML file converter also helps skip identical emails during the migration process. Its interactive interface makes it fit to use by all kinds of users. The demo version of this tool can migrate 50 emails per folder. This tool is compatible with all versions of Windows and Mac OS.",https://www.migrateemails.com/,File Converter Software,bd
Microsoft Entra Workload ID,"A workload identity is an identity you assign to a software workload (such as an application, service, script, or container) to authenticate and access other services and resources. The terminology is inconsistent across the industry, but generally a workload identity is something you need for your software entity to authenticate with some system. For example, in order for GitHub Actions to access Azure subscriptions the action needs a workload identity which has access to those subscriptions. A workload identity could also be an AWS service role attached to an EC2 instance with read-only access to an Amazon S3 bucket.",https://www.microsoft.com/en-us/,Other Privacy Software,bd
MetaDefender,MetaDefender is a software that analises suspicious files.,https://www.opswat.com/,Endpoint Protection Software,bd
MetaDefender Email Security Solution,OPSWAT MetaDefender Email Security provides key capabilities to advance organizations' email security posture to the maximum. Our goal is to protect organizations from email-initiated cyber attacks.,https://www.opswat.com/,Email Security Software,bd
MigrateEmails NSF to PST Converter Tool,"MigrateEmails NSF to PST Converter is a premium software to easily convert Lotus notes to Outlook PST risk-free. This tool is developed with various advanced features that provide a smooth and secure conversion of NSF files. It does not alter any data and maintains folder hierarchy throughout the conversion process. Users can export various NSF file content to multiple file formats like MBOX, MSG, EML, EMLX, PDF, HTML, MHTML, and CSV. It also enables removing duplicate emails during the conversion process. The demo version of this software allows to 50 emails per folder. Its user-friendly interface makes it convenient to use by both technical and non-technical users. It is widely supported by all versions of Windows OS.",https://www.migrateemails.com/,File Converter Software,bd
Magento 2 Product Bundled Discount Extension,Encourage your customers to shop more using Bundle Product Magento 2 Extension. Build a bundle of up-sell or cross-selling products with special prices and boost conversion. - Set flat/percentage discount for product bundled set - Dedicated bundled promotion listing page - Import/Export product bundled promotions - Allow specific promotions to customer groups - Show related bundled promotions on cart page - Supports multi store website - Allow customers to select the custom options of products - Allows admin to set flexible/fix product Bundle Type - Create tags and tag categories for each product bundle - Filter bundles by tags and keywords COMPATIBLE WITH -COMMUNITY : 2.3.X - 2.4.X ENTERPRISE : 2.3.X - 2.4.X,https://www.magedelight.com/,E-Commerce Software,bd
Madison Logic Platform,"Our B2B marketing technology platform, Activate ABM™, unifies display advertising and lead generation with comprehensive attribution metrics to show full return on investment. ActivateABM is the only account-based marketing full funnel solution driven by intent data, targeting prospects when they are exhibiting the most propensity to buy.",https://www.madisonlogic.com/,Account-Based Marketing Software,bd
Mirantis Kubernetes Engine (formerly Docker Enterprise),"Mirantis Kubernetes Engine (formerly Docker Enterprise) is the world's leading software container platform to build, ship, and run any app anywhere.",https://www.mirantis.com/,DevOps Software,bd
Lumeo,"Lumeo is a complete, open and flexible platform that offers everything you need to design, deliver, and monitor AI-based video analytics.",https://lumeo.com/,Video Software,bd + ts
Microsoft Text Analytics API,"Microsoft Text Analytics API is a suite of text analytics services that offer APIs for sentiment analysis, key phrase extraction and topic detection for English text, as well as language detection for 120 languages.",https://www.microsoft.com/en-us/,Text Analysis Software,bd
Meta Llama 3,"Experience the state-of-the-art performance of Llama 3, an openly accessible model that excels at language nuances, contextual understanding, and complex tasks like translation and dialogue generation. With enhanced scalability and performance, Llama 3 can handle multi-step tasks effortlessly, while our refined post-training processes significantly lower false refusal rates, improve response alignment, and boost diversity in model answers. Additionally, it drastically elevates capabilities like reasoning, code generation, and instruction following. Build the future of AI with Llama 3.",https://about.meta.com/,Generative AI Software,bd
Miradore Management Suite,"Miradore Management Suite is a tool for It system management that help to manage and optimize hardware and software assets, while automating routines like deployments, patches and configurations, move from reactive to proactive maintenance to enjoy improved security, and increase user happiness with timely remote support.",https://www.goto.com/,IT Asset Management Software,bd
MadCap IXIA CCMS (formerly IXIASOFT DITA CCMS),"MadCap IXIA CCMS is a component content management solution designed to streamline your technical communication process. As an enterprise-class DITA CCMS based on the DITA standard (Darwin Information Typing Architecture), our solution can be tailored to meet your needs. This open XML-based method of managing and creating technical publications, offers technical writers the ability to create and manage technical documents with ease.",https://www.madcapsoftware.com/,Enterprise Content Management (ECM) Systems,bd
Minitab Statistical Software,Minitab Statistical Software is a leading statistical software used for quality improvement and statistics education worldwide.,https://www.minitab.com/,Statistical Analysis Software,bd
MigrateEmails MSG Converter,"MigrateEmails MSG Converter is a premium utility that converts MSG to PDF, EML, MBOX, PST, OST, PNG, DOC, DOCM, DOCX, CSV, TIFF, JPG, GIF, JSON, and other multiple file formats efficiently. It helps to export MSG files to Gmail, Thunderbird, AOL, Amazon WorkMail, HotMail, Office 365, IMAP,iCloud, Opera Mail, and other web-based and cloud-based email clients. It enables bulk migration of MSG files with 100% accuracy. It also facilitate removing duplicate emails from the conversion process to make managing emails smooth. The MSG file converter maintains data originality and folder hierarchy throughout the process and prevents data alteration. Preview feature aids in displaying all the mailbox data of the selected MSG files in a tree structure. The Mail Filter is another advanced feature of this utility that enables the conversion of selective emails of specific dates. MigrateEmails MSG converter tool supports conversion of all MSG files created by different Outlook versions. Users can convert MSG files to the desired format with or without attachments. Its custom folder name option allows setting the desired name for the resultant file. Users can also save the resultant file in the same folder or any other desired location as per their choice. The demo version of this software allows users to convert 50 emails per folder. Its easy-to-use interface makes it convenient to use by both technical and non-technical users. The MSG converter is supported by all early and updated versions of Windows and Mac OS.",https://www.migrateemails.com/,File Converter Software,bd
Mighty Networks,"Mighty is where creators, entrepreneurs, and brands build digital communities with cultural software. Be a part of something different #OnMighty.",https://www.mightynetworks.com/,Online Community Management Software,bd
Microsoft Forms,"Streamline, automate, and transform your business solutions with rich forms, process automation, and custom mobile apps. Easily create surveys, quizzes, and polls.",https://www.microsoft.com/en-us/,Online Form Builder Software,bd + ts
Metaview,The world’s #1 AI scribe for recruiting,https://www.metaview.ai/,Talent Management Software,bd
Microsoft OneNote,"Microsoft OneNote is a note capturing, file storage & sharing solution",https://www.microsoft.com/en-us/,Note-Taking Software,bd
Microsoft Defender External Attack Surface Management,"In this era of hybrid work, shadow IT creates an increasingly serious security risk. Defender EASM helps cloud security teams see unknown and unmanaged resources outside the firewall.",https://www.microsoft.com/en-us/,Vulnerability Management Software,bd
Magento 2 Partial Payment Pro Extension,"MageDelight Partial Payment Pro Magento 2 extension facilitates the buyers to make a partial payment while purchasing and rest of the amount in installments, layaway plans or EMIs. Now offer flexibility in payment and improve customer satisfaction. - Supports guest checkout with offline payment methods - Allows Zero (0) amount checkout with offline payment methods - Partial payment option available at the checkout page - Admin can order with partial payment from back-end - Allow partial payment facility to particular customer groups - Set minimum cart total amount for availing the partial payment facility - Reschedule the installment amount for particular installment - Set the down payment type - Percentage/Fixed - Smart auto capture payment engine which only requires to configure CRON jobs COMPATIBLE WITH -COMMUNITY : 2.3.X - 2.4.X ENTERPRISE : 2.3.X - 2.4.X",https://www.magedelight.com/,E-Commerce Software,bd
Millie,"Millie's workplace giving platform is designed to make charitable giving and volunteering fun, accessible, and impactful. As big believers that change comes from everyone, Millie is on a mission to empower businesses of all sizes to start and grow social impact programs. The platform offers a personalized experience that helps companies build a culture of giving back, amplifying the impact of their employees, customers, and bottom line.",https://milliegiving.com/,Corporate Social Responsibility (CSR) Software,bd + ts
Mimecast Brand Exploit Protect,Brand impersonation attacks that compromise customers and partners are devastating.,https://www.mimecast.com/,E-Commerce Software,bd
Microanalytics,"Microanalytics is a simple, clean, user-friendly website analytics tool. Fully compliant with GDPR, PECR and CCPA. Created and hosted in the EU, powered by renewable energy.",https://microanalytics.io/,Digital Analytics Software,bd
MicroZAccess,"MicroZAccess is a smart Zero Trust Network Access(ZTNA) client which enables businesses to have secure remote access with greater flexibility. Unlike perimeter based approaches like VPN, ZTNA grants access only to the applications that your users need with application-level granular access control. Further Security is fortified by Enhanced Identity, Automated Threat Prevention and next-gen Firewalls.",https://cosgrid.com/,Zero Trust Architecture Software,bd
Microsoft SQL Server 2017 Enterprise on Windows Server 2016,"The SQL Server Amazon Machine Images (AMI) is built, updated, and fully-patched by AWS within five business days of Microsoft's patch Tuesday (the second Tuesday of each month). Launching an instance from this AMI enables you to run the instance as a database server and saves you the effort to install SQL Server software. This AMI comes with following software and drivers including AWS Systems Manager, AWS CloudFormation, AWS Tools for Windows PowerShell, Network drivers, and Storage drivers. You can use AWS Launch Wizard to easily size, configure, and deployment SQL Server applications on AWS. Launch Wizard for SQL Server supports both single instance and high availability deployments according to AWS and SQL Server best practices.",https://aws.amazon.com/?nc2=h_lg,AWS Marketplace Software,bd
Luxand.cloud,Accurate and fast face recognition/verification API,https://www.luxand.com/,Deep Learning Software,bd
Microsoft 365 E5 Compliance Suite,"Microsoft offers comprehensive Compliance and data governance solutions to help your organization manage risks, protect and govern sensitive data, and respond to regulatory requirements.",https://www.microsoft.com/en-us/,Product Suites,bd
Mad Mimi,"Mad Mimi is a lovely, simple email service that lets you create, send, share, and track email newsletters.",https://www.godaddy.com/,Email Marketing Software,bd
Lylli LaunchTools,Lylli LaunchTools is a state-of-the-art Interactive Strategy Builder & Visualizer that feeds directly into Strategy Driven Product Launch Management.,https://lyllilaunchtools.com/,Life Sciences Software,bd
Microsoft SQL Server 2017 Web on Windows Server 2019,"SQL Server on AWS has lower TCO, higher performance, and the broadest and deepest capabilities. This SQL Server Amazon Machine Images (AMI) is built by Amazon Web Services (AWS) for use on Amazon EC2, the proven, reliable, and secure place for SQL Server.",https://aws.amazon.com/?nc2=h_lg,AWS Marketplace Software,bd
Microsoft Quick Assist,"Quick Assist is a new app in Windows 10 that enables you to receive or provide assistance over a remote connection. We encourage you to try Quick Assist for a more streamlined, easy-to-use experience.",https://www.microsoft.com/en-us/,Remote Desktop Software,bd
Magento B2B Marketplace Extension - CedCommerce,CedCommerce B2B Basic Marketplace is designed to transform any eCommerce Store into a fully functioning B2B marketplace.,https://cedcommerce.com/,E-Commerce Software,bd
Magento 2 Stripe Payment Extension,Integrate Stripe Payment Gateway to your online store and offer your customers a safe and 3D secure payment experience with MageDelight Magento 2 Stripe Payment Extension. AliPay Payment Method Supported! - Store sensitive payment data on stripe server & let the stripe manage them - Accept the payment globally (Select countries to get the payment from) - Supports 3D security verification & Alipay Stripe Payment - Supports multiple currencies and multi-store - Client-side tokenization provides PCI DSS compliance - Use customers’ saved cards to place order on behalf of customer from back-end - Manage refunds online COMPATIBLE WITH -COMMUNITY : 2.3.X - 2.4.X ENTERPRISE : 2.3.X - 2.4.X,https://www.magedelight.com/,E-Commerce Software,bd
Microsoft Purview Information Protection,"Protect your sensitive information. Learn how our solutions help you discover, classify, and protect sensitive information wherever it lives or travels.",https://www.microsoft.com/en-us/,Data Security Software,bd
Microsoft System Center,"Microsoft System Center helps customers realize the benefits of the Microsoft Cloud Platform by delivering unified management. Experience fast time-to-value with out-of-the-box monitoring, provisioning, configuration, automation, protection and self-service.",https://www.microsoft.com/en-us/,Data Center Infrastructure Management (DCIM) Software,bd
Microsoft Teams Webinars,"Meet with customers and coworkers from nearly anywhere. Connect with audiences through engaging webinars and events that support up to 1,000 participants. Or use advanced webinar features with Teams Premium.",https://www.microsoft.com/en-us/,Webinar Platforms,bd + ts
Maestro | Virtual Set,"Produce captivating 3D virtual studios that make your broadcasts stand apart from the competition. With Maestro | Virtual Set, you can easily create photorealistic environments and elevate any production to better engage viewers and enhance storytelling. All from a single cost-effective solution that provides easy-to-use design tools and highly accurate infrared camera tracking. It’s ideal for creating unique studio settings, showcasing content in more compelling ways, and adding visual impact to elections, sports and entertainment shows, news programs, and other live broadcast productions.",https://www.avid.com/,Virtual Reality Software,bd
Lyyti,Lyyti is a web-based event management software that provides tools and features to help you manage the manual phases in organizing events.,https://www.lyyti.com/,Event Management Software,bd
MicroStation,"MicroStation is a modeling environment explicitly for the architecture, engineering, construction, and operation of all infrastructure types including utility systems, roads and rail, bridges, buildings, communications networks, water and wastewater networks, process plants, mining, and more. MicroStation can be used either as a software application or as a technology platform.",https://www.bentley.com/,CAD Software,bd
Microsoft Planner,"Planner makes it easy for your team to create new plans, organize and assign tasks, share files, chat about what you're working on, and get updates on progress.",https://www.microsoft.com/en-us/,"Project, Portfolio & Program Management Software",bd
Luna from Unity,"Luna’s unified app marketing platform allows marketers to build high-performing interactive creatives at scale, deploy them across channels, and leverage automated optimizers and deep data insights to drive incremental growth. With one powerful platform, Luna creates a unified point of access for every member of the marketing team to control their app marketing activity and drive incremental growth. Luna combines the capabilities of Luna Labs and Bidalgo, both acquired by ironSource in 2021.",https://unity.com/,Mobile Advertising Software,bd
MigrateEmails,"MigrateEmails PST File Converter Tool is an excellent utility to convert Outlook PST data into several other file formats and email clients. The software is developed by a team of professionals and ensures no harm to users' data. Its highly secured algorithms and easy graphical interface make it a unique application for migrating PST data. The application also allows users to remove duplicate mailbox items at the time of performing the conversion task. The Mail and Task Filter option facilitate users to select only the required emails for migration. Clients can also exclude unwanted attachments from the migration procedure without disturbing the original file. Moreover, this smart tool delivers a free demo version and a 24*7 tech support team to its users.",https://www.migrateemails.com/,Payment Software,bd
Microsoft Data Quality Services,SQL Server Data Quality Services (DQS) is a knowledge-driven data quality product.,https://www.microsoft.com/en-us/,Data Quality Tools,bd
Midaxo,"Midaxo is a collaborative end-to-end M&A software platform that supports all aspects of pipeline management, due diligence, and post-merger integration.",https://www.midaxo.com/,Financial Services Software,bd
MicroD,"Celebrating 25 years as a North Carolina technology leader, MicroD develops solutions for the Home Furnishings Industry to increase sales and profitability in the digital marketplace. Our OmniVue® Website + eCommerce platform, Digital Marketing, 3D Visualization, Product Catalog Data, and Room Planning tools provide a full-service resource for manufacturers, retailers, and designers across the United States. We take an agile approach to problem-solving, adapting and responding to current best practices and trends. From discovery to decision, our award-winning teams are always searching for a better way to attract shoppers, engage buyers, and impact the online performance for our 400+ clients. We believe in the balance that makes life and work the most successful through generosity and growth both inside and outside the workplace. Our core offerings provide a smarter and faster way to generate traffic and increase sales. Website + eCommerce Digital Marketing 3D + Product Visualization Product Catalog Data Electronic Data Interchange (EDI)",https://revalizesoftware.com/,Home Furnishing Software,bd + ts
Planning Center Registrations,Simple event registrations,https://www.planningcenter.com/,Church Software,bd
Mintsoft,"Cloud-based order management and warehouse management software system for online retailers, warehouses and 3PLs looking to stay ahead of the increasing demands of ecommerce and multichannel selling.",https://www.theaccessgroup.com/,Accounting & Finance Software,bd
MIP Fund Accounting,Full fund accounting functionality with module-based pricing,https://communitybrands.com/,Nonprofit Software,bd
